;id_l;id_r;regular_jaccard;exec_time_regular;bc_jaccard;calc_bcjaccard;exec_time_bc;estimated_gas
6515;40888;35202;0.42857142857142855;0.000997781753540039;42;0.42857142857142855;0.2435016632080078;2026057
6516;41010;5198;0.5802469135802469;0.0;58;0.5802469135802469;0.20421695709228516;2091021
6517;41010;15397;0.4403409090909091;0.0;44;0.4403409090909091;0.21963262557983398;2067592
6518;41010;25427;0.5;0.0;50;0.5;0.19787859916687012;2081104
6519;41010;29205;0.4447852760736196;0.0;44;0.4447852760736196;0.21827387809753418;2057768
6520;41010;32588;0.5061728395061729;0.0;50;0.5061728395061729;0.19811463356018066;2072373
6521;41010;34379;0.4678362573099415;0.0010097026824951172;46;0.4678362573099415;0.20047593116760254;2070687
6522;41010;34427;0.5345345345345346;0.0;53;0.5345345345345346;0.20111775398254395;2083962
6523;41011;10906;0.5907590759075908;0.0;59;0.5907590759075908;0.2045276165008545;2082369
6524;41011;14724;0.6360544217687075;0.0;63;0.6360544217687075;0.20724868774414062;2087874
6525;41011;14726;0.6360544217687075;0.0;63;0.6360544217687075;0.2223496437072754;2087874
6526;41011;24082;0.44954128440366975;0.0;44;0.44954128440366975;0.22412705421447754;2059401
6527;41011;30797;0.4873417721518987;0.0009875297546386719;48;0.4873417721518987;0.21091938018798828;2063971
6528;41011;31113;0.47878787878787876;0.0;47;0.47878787878787876;0.19544720649719238;2068185
6529;41049;3921;0.7178423236514523;0.0;71;0.7178423236514523;0.23488736152648926;2072809
6530;41049;7485;0.5437956204379562;0.0;54;0.5437956204379562;0.19701075553894043;2056768
6531;41049;19126;0.7178423236514523;0.0;71;0.7178423236514523;0.20763826370239258;2072809
6532;41049;26026;0.45121951219512196;0.0009992122650146484;45;0.45121951219512196;0.23092865943908691;2060257
6533;41050;31524;0.5088235294117647;0.0010020732879638672;50;0.5088235294117647;0.19889187812805176;2080630
6534;41050;34394;0.6020761245674741;0.0;60;0.6020761245674741;0.20545077323913574;2077378
6535;41050;35850;0.5808580858085809;0.0;58;0.5808580858085809;0.1896822452545166;2080038
6536;41241;33532;0.5617977528089888;0.0;56;0.5617977528089888;0.21539044380187988;2056992
6537;41241;34578;0.6580882352941176;0.0;65;0.6580882352941176;0.2031397819519043;2079920
6538;41244;1246;0.5907590759075908;0.0;59;0.5907590759075908;0.22771406173706055;2082369
6539;41244;13718;0.5686900958466453;0.0;56;0.5686900958466453;0.2045607566833496;2082382
6540;41244;16962;0.5856164383561644;0.0;58;0.5856164383561644;0.21396517753601074;2075284
6541;41244;33850;0.4608150470219436;0.0;46;0.4608150470219436;0.20160675048828125;2058769
6542;41245;6428;0.44954128440366975;0.0;44;0.44954128440366975;0.25730466842651367;2059401
6543;41245;6439;0.504950495049505;0.0;50;0.504950495049505;0.19507884979248047;2062167
6544;41245;8296;0.5062111801242236;0.0;50;0.5062111801242236;0.199784517288208;2071438
6545;41246;32279;0.6178343949044586;0.0;61;0.6178343949044586;0.20846223831176758;2094893
6546;41249;12455;0.3908450704225352;0.0;39;0.3908450704225352;0.21016669273376465;2028032
6547;41250;2472;0.5463258785942492;0.0;54;0.5463258785942492;0.20429301261901855;2076943
6548;41250;5198;0.5855263157894737;0.0;58;0.5855263157894737;0.2017216682434082;2081671
6549;41250;12360;0.5078864353312302;0.0;50;0.5078864353312302;0.1898653507232666;2069489
6550;41250;14465;0.41916167664670656;0.0;41;0.41916167664670656;0.23021626472473145;2054515
6551;41250;15182;0.5;0.0;50;0.5;0.21743488311767578;2068014
6552;41250;25427;0.5329153605015674;0.0;53;0.5329153605015674;0.21274232864379883;2076640
6553;41251;4146;0.5638297872340425;0.0;56;0.5638297872340425;0.20713067054748535;2065170
6554;41251;23589;0.5514950166112956;0.0;55;0.5514950166112956;0.19832777976989746;2072110
6555;41252;28716;0.4319526627218935;0.0;43;0.4319526627218935;0.20696401596069336;2059493
6556;41252;32348;0.45016077170418006;0.0;45;0.45016077170418006;0.2008681297302246;2052698
6557;41253;2472;0.5463258785942492;0.0;54;0.5463258785942492;0.20090341567993164;2076943
6558;41253;5198;0.5855263157894737;0.0;58;0.5855263157894737;0.22199010848999023;2081671
6559;41253;12360;0.5078864353312302;0.0;50;0.5078864353312302;0.414168119430542;2069489
6560;41253;14465;0.41916167664670656;0.0;41;0.41916167664670656;0.19495797157287598;2054515
6561;41253;15182;0.5;0.0;50;0.5;0.19575929641723633;2068014
6562;41253;25427;0.5329153605015674;0.0;53;0.5329153605015674;0.19399785995483398;2076640
6563;41254;9370;0.5535714285714286;0.0;55;0.5535714285714286;0.25563693046569824;2090415
6564;41254;16934;0.7246835443037974;0.0;72;0.7246835443037974;0.3114490509033203;2122246
6565;41260;33871;0.479020979020979;0.0;47;0.479020979020979;0.2720978260040283;2048392
6566;41261;7144;0.5936395759717314;0.0;59;0.5936395759717314;0.23429226875305176;2072242
6567;41261;14674;0.45794392523364486;0.0;45;0.45794392523364486;0.2109241485595703;2058927
6568;41261;18338;0.6389776357827476;0.0;63;0.6389776357827476;0.30560302734375;2099476
6569;41261;28441;0.4782608695652174;0.0;47;0.4782608695652174;0.23746085166931152;2074809
6570;41261;32375;0.6666666666666666;0.0;66;0.6666666666666666;0.19935369491577148;2098449
6571;41268;35257;0.43107769423558895;0.0009992122650146484;43;0.43107769423558895;0.20356440544128418;2084514
6572;41276;16407;0.6120401337792643;0.0;61;0.6120401337792643;0.20893454551696777;2085161
6573;41276;33240;0.7058823529411765;0.001001596450805664;70;0.7058823529411765;0.20730161666870117;2090021
6574;41276;33657;0.6890459363957597;0.0;68;0.6890459363957597;0.22635388374328613;2093221
6575;41278;29294;0.5201465201465202;0.0;52;0.5201465201465202;0.21261358261108398;2051250
6576;41281;9838;0.467680608365019;0.0;46;0.467680608365019;0.20102620124816895;2035697
6577;41281;11957;0.48046875;0.0;48;0.48046875;0.2068648338317871;2035144
6578;41326;17051;0.46153846153846156;0.0;46;0.46153846153846156;0.19465923309326172;2067263
6579;41326;17556;0.46153846153846156;0.0;46;0.46153846153846156;0.1938462257385254;2067263
6580;41326;18298;0.5836065573770491;0.0;58;0.5836065573770491;0.25040769577026367;2081750
6581;41326;19522;0.46153846153846156;0.0;46;0.46153846153846156;0.1906428337097168;2067263
6582;41326;19742;0.4444444444444444;0.0;44;0.4444444444444444;0.1887528896331787;2064471
6583;41326;25508;0.44036697247706424;0.0;44;0.44036697247706424;0.2003793716430664;2057070
6584;41327;4483;0.7033898305084746;0.0;70;0.7033898305084746;0.1990671157836914;2066975
6585;41329;24878;0.42782152230971127;0.0;42;0.42782152230971127;0.20172333717346191;2076099
6586;41329;29620;0.3960880195599022;0.0;39;0.3960880195599022;0.20177721977233887;2077534
6587;41329;31774;0.42513368983957217;0.0;42;0.42513368983957217;0.2455739974975586;2072438
6588;41366;23901;0.4791666666666667;0.0;47;0.4791666666666667;0.2017669677734375;2049327
6589;41366;26675;0.7012448132780082;0.0;70;0.7012448132780082;0.2064495086669922;2069701
6590;41366;29480;0.6083333333333333;0.0;60;0.6083333333333333;0.20043396949768066;2051751
6591;41366;33139;0.47440273037542663;0.0;47;0.47440273037542663;0.20659255981445312;2050499
6592;41367;13564;0.5047619047619047;0.0;50;0.5047619047619047;0.2222583293914795;2067777
6593;41367;17451;0.4646153846153846;0.0;46;0.4646153846153846;0.23540329933166504;2062351
6594;41367;18994;0.4646153846153846;0.0;46;0.4646153846153846;0.19915270805358887;2062351
6595;41367;19374;0.45222929936305734;0.0009996891021728516;45;0.45222929936305734;0.20282602310180664;2054489
6596;41367;23769;0.42810457516339867;0.0;42;0.42810457516339867;0.2367405891418457;2045310
6597;41571;1472;0.4890282131661442;0.0;48;0.4890282131661442;0.37702441215515137;2065762
6598;41571;32351;0.5415384615384615;0.0;54;0.5415384615384615;0.20989465713500977;2081776
6599;41572;17825;0.6098360655737705;0.0;60;0.6098360655737705;0.26504039764404297;2087966
6600;41572;30752;0.6360544217687075;0.0;63;0.6360544217687075;0.23872947692871094;2087874
6601;41574;1743;0.47674418604651164;0.0;47;0.47674418604651164;0.3551003932952881;2035302
6602;41574;22626;0.5374149659863946;0.0;53;0.5374149659863946;0.19636082649230957;2065341
6603;41574;31761;0.5631768953068592;0.0;56;0.5631768953068592;0.3836965560913086;2062444
6604;41576;1743;0.40327868852459015;0.0;40;0.40327868852459015;0.24654841423034668;2039015
6605;41576;22626;0.471976401179941;0.0;47;0.471976401179941;0.2016432285308838;2070450
6606;41577;15036;0.41317365269461076;0.0;41;0.41317365269461076;0.19965362548828125;2052961
6607;41577;15716;0.40498442367601245;0.0;40;0.40498442367601245;0.21841835975646973;2045718
6608;41577;27403;0.41317365269461076;0.0;41;0.41317365269461076;0.19698333740234375;2052961
6609;41578;30086;0.4617737003058104;0.0;46;0.4617737003058104;0.21450376510620117;2062509
6610;41579;16501;0.5508196721311476;0.0;55;0.5508196721311476;0.20996403694152832;2073980
6611;41579;17421;0.47112462006079026;0.0;47;0.47112462006079026;0.1981496810913086;2065775
6612;41579;21434;0.4195583596214511;0.0;41;0.4195583596214511;0.19228529930114746;2047733
6613;41579;27575;0.40498442367601245;0.0;40;0.40498442367601245;0.23668980598449707;2045718
6614;41579;30851;0.4195583596214511;0.0009989738464355469;41;0.4195583596214511;0.19783258438110352;2047733
6615;41579;31451;0.5490196078431373;0.0;54;0.5490196078431373;0.20222234725952148;2074059
6616;41579;32793;0.5508196721311476;0.0;55;0.5508196721311476;0.22339200973510742;2073980
6617;41579;33350;0.7519685039370079;0.0;75;0.7519685039370079;0.1868300437927246;2087822
6618;41580;10906;0.4952681388012618;0.0009999275207519531;49;0.4952681388012618;0.22635340690612793;2066381
6619;41580;14724;0.4921135646687697;0.0;49;0.4921135646687697;0.19997024536132812;2065604
6620;41580;14726;0.4921135646687697;0.0;49;0.4921135646687697;0.5175931453704834;2065604
6621;41580;24082;0.569023569023569;0.0;56;0.569023569023569;0.2045574188232422;2074125
6622;41580;30797;0.4666666666666667;0.0;46;0.4666666666666667;0.19976544380187988;2058453
6623;41580;31113;0.48148148148148145;0.0;48;0.48148148148148145;0.2175886631011963;2066157
6624;41582;5712;0.404320987654321;0.0;40;0.404320987654321;0.23812007904052734;2046732
6625;41585;14674;0.415929203539823;0.0;41;0.415929203539823;0.22517657279968262;2055687
